"MAINTENANCEID","REGISTRATIONNO","MAINTENANCEDATE","MAINTENANCETYPE","MAINTENANCECOST","TEAMID"
M421,Car19,2015-05-24 00:00:00.000,M001,100,T004
M422,Car06,2016-09-17 00:00:00.000,M002,200,T001
M423,Car22,2017-08-26 00:00:00.000,M001,100,T005
M424,Car15,2017-06-18 00:00:00.000,M002,200,T005
M425,Car29,2015-03-07 00:00:00.000,M005,500,T002
M426,Car04,2016-02-28 00:00:00.000,M003,300,T004
M427,Car26,2021-11-13 00:00:00.000,M001,100,T002
M428,Car16,2015-09-13 00:00:00.000,M001,100,T004
M429,Car10,2018-10-20 00:00:00.000,M002,200,T005
M430,Car30,2016-04-16 00:00:00.000,M002,200,T003
M431,Car15,2016-03-13 00:00:00.000,M004,400,T005
M432,Car27,2015-03-15 00:00:00.000,M001,100,T002
M433,Car10,2021-06-27 00:00:00.000,M001,100,T001
M434,Car06,2019-01-26 00:00:00.000,M003,300,T005
M435,Car28,2015-03-28 00:00:00.000,M005,500,T004
M436,Car23,2015-08-29 00:00:00.000,M005,500,T002
M437,Car24,2020-11-15 00:00:00.000,M002,200,T005
M438,Car13,2019-01-27 00:00:00.000,M003,300,T002
M439,Car06,2015-01-31 00:00:00.000,M005,500,T002
M440,Car23,2015-01-17 00:00:00.000,M003,300,T003
M441,Car06,2016-10-23 00:00:00.000,M002,200,T003
M442,Car16,2015-06-14 00:00:00.000,M001,100,T003
M443,Car27,2020-03-07 00:00:00.000,M003,300,T004
M444,Car09,2015-02-22 00:00:00.000,M005,500,T002
M445,Car10,2016-05-29 00:00:00.000,M004,400,T002
M446,Car01,2017-10-15 00:00:00.000,M005,500,T003
M447,Car25,2020-04-11 00:00:00.000,M002,200,T005
M448,Car24,2017-05-20 00:00:00.000,M005,500,T002
M449,Car29,2020-07-05 00:00:00.000,M001,100,T001
M450,Car13,2015-03-07 00:00:00.000,M002,200,T005
M451,Car11,2020-07-04 00:00:00.000,M002,200,T002
M452,Car03,2020-08-30 00:00:00.000,M003,300,T001
M453,Car17,2020-04-25 00:00:00.000,M005,500,T001
M454,Car03,2017-12-10 00:00:00.000,M003,300,T003
M455,Car24,2021-01-10 00:00:00.000,M004,400,T003
M456,Car09,2020-06-06 00:00:00.000,M001,100,T002
M457,Car25,2020-09-26 00:00:00.000,M002,200,T004
M458,Car13,2020-07-12 00:00:00.000,M004,400,T004
M459,Car26,2018-11-03 00:00:00.000,M003,300,T002
M460,Car30,2020-04-04 00:00:00.000,M001,100,T005
M461,Car15,2019-06-22 00:00:00.000,M003,300,T005
M462,Car17,2018-05-26 00:00:00.000,M001,100,T002
M463,Car03,2015-01-24 00:00:00.000,M001,100,T002
M464,Car30,2018-01-13 00:00:00.000,M004,400,T002
M465,Car06,2016-08-20 00:00:00.000,M001,100,T003
M466,Car30,2019-08-03 00:00:00.000,M004,400,T002
M467,Car09,2015-10-24 00:00:00.000,M005,500,T004
M468,Car06,2016-04-24 00:00:00.000,M001,100,T005
M469,Car27,2018-03-11 00:00:00.000,M002,200,T003
M470,Car03,2021-04-18 00:00:00.000,M003,300,T004
M471,Car03,2015-01-03 00:00:00.000,M002,200,T004
M472,Car02,2021-06-13 00:00:00.000,M005,500,T005
M473,Car10,2015-12-06 00:00:00.000,M004,400,T002
M474,Car03,2021-01-24 00:00:00.000,M004,400,T001
M475,Car05,2016-08-07 00:00:00.000,M004,400,T005
M476,Car17,2018-10-06 00:00:00.000,M003,300,T005
M477,Car20,2016-01-03 00:00:00.000,M001,100,T004
M478,Car26,2018-09-30 00:00:00.000,M001,100,T001
M479,Car13,2017-08-19 00:00:00.000,M005,500,T002
M480,Car09,2019-01-20 00:00:00.000,M005,500,T004
M481,Car17,2016-05-01 00:00:00.000,M005,500,T005
M482,Car24,2019-07-21 00:00:00.000,M001,100,T002
M483,Car18,2019-05-18 00:00:00.000,M001,100,T001
M484,Car03,2016-03-20 00:00:00.000,M003,300,T001
M485,Car01,2015-03-14 00:00:00.000,M002,200,T002
M486,Car12,2015-11-22 00:00:00.000,M002,200,T001
M487,Car16,2017-11-04 00:00:00.000,M005,500,T005
M488,Car08,2015-06-07 00:00:00.000,M005,500,T001
M489,Car02,2021-04-17 00:00:00.000,M004,400,T001
M490,Car13,2018-03-18 00:00:00.000,M001,100,T001
M491,Car13,2016-05-07 00:00:00.000,M004,400,T001
M492,Car21,2018-12-29 00:00:00.000,M001,100,T001
M493,Car01,2020-10-25 00:00:00.000,M005,500,T001
M494,Car29,2018-01-14 00:00:00.000,M001,100,T004
M495,Car01,2016-02-21 00:00:00.000,M002,200,T002
M496,Car27,2016-08-28 00:00:00.000,M003,300,T004
M497,Car03,2018-07-08 00:00:00.000,M005,500,T001
M498,Car07,2016-04-23 00:00:00.000,M004,400,T002
M499,Car08,2017-05-13 00:00:00.000,M003,300,T002
M500,Car11,2018-08-19 00:00:00.000,M001,100,T005
M501,Car05,2020-11-01 00:00:00.000,M004,400,T002
M502,Car19,2019-10-26 00:00:00.000,M005,500,T003
M503,Car19,2019-12-29 00:00:00.000,M003,300,T004
M504,Car20,2020-07-11 00:00:00.000,M005,500,T005
M505,Car09,2015-08-16 00:00:00.000,M002,200,T002
M506,Car30,2018-09-29 00:00:00.000,M005,500,T003
M507,Car01,2018-11-10 00:00:00.000,M001,100,T005
M508,Car15,2016-03-27 00:00:00.000,M002,200,T003
M509,Car20,2018-07-21 00:00:00.000,M002,200,T002
M510,Car06,2015-03-21 00:00:00.000,M005,500,T004
M511,Car06,2015-06-27 00:00:00.000,M001,100,T005
M512,Car22,2021-05-08 00:00:00.000,M004,400,T003
M513,Car09,2020-06-06 00:00:00.000,M003,300,T004
M514,Car15,2018-12-09 00:00:00.000,M005,500,T001
M515,Car17,2019-09-15 00:00:00.000,M001,100,T001
M516,Car20,2017-12-30 00:00:00.000,M002,200,T005
M517,Car03,2016-12-10 00:00:00.000,M005,500,T005
M518,Car10,2018-03-18 00:00:00.000,M003,300,T001
M519,Car15,2016-01-03 00:00:00.000,M003,300,T003
M520,Car18,2018-03-25 00:00:00.000,M005,500,T003
M521,Car10,2018-12-30 00:00:00.000,M005,500,T001
M522,Car09,2017-12-16 00:00:00.000,M002,200,T005
M523,Car23,2020-08-15 00:00:00.000,M002,200,T005
M524,Car07,2016-10-22 00:00:00.000,M002,200,T003
M525,Car12,2019-12-29 00:00:00.000,M001,100,T003
M526,Car11,2021-10-16 00:00:00.000,M001,100,T005
M527,Car30,2019-08-18 00:00:00.000,M001,100,T005
M528,Car09,2016-11-20 00:00:00.000,M002,200,T003
M529,Car05,2020-04-18 00:00:00.000,M004,400,T002
M530,Car04,2020-06-21 00:00:00.000,M001,100,T004
M531,Car21,2018-08-26 00:00:00.000,M005,500,T005
M532,Car28,2016-12-17 00:00:00.000,M003,300,T001
M533,Car19,2018-05-27 00:00:00.000,M004,400,T005
M534,Car29,2021-07-17 00:00:00.000,M002,200,T002
M535,Car24,2018-09-23 00:00:00.000,M005,500,T003
M536,Car04,2015-12-13 00:00:00.000,M004,400,T003
M537,Car19,2016-10-15 00:00:00.000,M001,100,T002
M538,Car09,2019-12-14 00:00:00.000,M003,300,T003
M539,Car12,2019-04-07 00:00:00.000,M004,400,T002
M540,Car26,2016-04-02 00:00:00.000,M002,200,T004
M541,Car25,2020-03-08 00:00:00.000,M001,100,T002
M542,Car11,2015-08-23 00:00:00.000,M003,300,T001
M543,Car07,2017-08-20 00:00:00.000,M004,400,T005
M544,Car29,2021-04-11 00:00:00.000,M003,300,T003
M545,Car29,2016-05-29 00:00:00.000,M004,400,T003
M546,Car14,2015-11-29 00:00:00.000,M005,500,T004
M547,Car05,2019-10-13 00:00:00.000,M005,500,T003
M548,Car15,2015-02-28 00:00:00.000,M005,500,T005
M549,Car11,2015-05-10 00:00:00.000,M005,500,T005
M550,Car14,2020-02-16 00:00:00.000,M005,500,T003
M551,Car11,2020-06-21 00:00:00.000,M005,500,T003
M552,Car24,2015-12-26 00:00:00.000,M003,300,T001
M553,Car04,2015-11-01 00:00:00.000,M005,500,T002
M554,Car01,2017-08-19 00:00:00.000,M003,300,T005
M555,Car06,2021-05-02 00:00:00.000,M004,400,T002
M556,Car18,2019-02-09 00:00:00.000,M003,300,T002
M557,Car29,2017-03-05 00:00:00.000,M005,500,T002
M558,Car02,2018-02-17 00:00:00.000,M004,400,T002
M559,Car17,2015-10-17 00:00:00.000,M005,500,T002
M560,Car13,2015-07-05 00:00:00.000,M002,200,T005
M561,Car16,2015-10-24 00:00:00.000,M004,400,T004
M562,Car25,2017-09-09 00:00:00.000,M003,300,T002
M563,Car14,2015-09-05 00:00:00.000,M002,200,T005
M564,Car23,2015-06-14 00:00:00.000,M001,100,T002
M565,Car28,2018-01-14 00:00:00.000,M004,400,T005
M566,Car17,2019-12-07 00:00:00.000,M005,500,T005
M567,Car07,2020-07-26 00:00:00.000,M002,200,T002
M568,Car25,2017-11-18 00:00:00.000,M005,500,T003
M569,Car07,2021-04-03 00:00:00.000,M005,500,T004
M570,Car12,2015-07-26 00:00:00.000,M005,500,T002
M571,Car07,2021-01-31 00:00:00.000,M001,100,T001
M572,Car27,2019-12-15 00:00:00.000,M001,100,T002
M573,Car07,2015-08-15 00:00:00.000,M005,500,T005
M574,Car14,2021-05-23 00:00:00.000,M002,200,T001
M575,Car06,2020-04-04 00:00:00.000,M005,500,T003
M576,Car15,2019-11-10 00:00:00.000,M004,400,T005
M577,Car16,2015-08-22 00:00:00.000,M002,200,T001
M578,Car09,2017-12-16 00:00:00.000,M005,500,T004
M579,Car12,2021-04-25 00:00:00.000,M003,300,T005
M580,Car08,2017-05-14 00:00:00.000,M002,200,T004
M581,Car16,2018-06-17 00:00:00.000,M005,500,T005
M582,Car20,2015-09-19 00:00:00.000,M001,100,T003
M583,Car30,2021-07-18 00:00:00.000,M003,300,T003
M584,Car20,2019-06-30 00:00:00.000,M003,300,T002
M585,Car05,2015-01-11 00:00:00.000,M005,500,T003
M586,Car19,2015-11-21 00:00:00.000,M004,400,T003
M587,Car04,2019-05-12 00:00:00.000,M005,500,T005
M588,Car19,2017-04-30 00:00:00.000,M005,500,T002
M589,Car23,2020-11-14 00:00:00.000,M005,500,T002
M590,Car15,2021-03-20 00:00:00.000,M001,100,T005
M591,Car13,2018-03-25 00:00:00.000,M003,300,T001
M592,Car08,2017-12-23 00:00:00.000,M002,200,T005
M593,Car17,2016-04-23 00:00:00.000,M003,300,T004
M594,Car24,2020-12-26 00:00:00.000,M003,300,T001
M595,Car29,2020-03-21 00:00:00.000,M005,500,T005
M596,Car28,2020-08-09 00:00:00.000,M003,300,T004
M597,Car23,2018-09-30 00:00:00.000,M005,500,T001
M598,Car12,2017-07-08 00:00:00.000,M005,500,T005
M599,Car07,2017-01-22 00:00:00.000,M001,100,T003
M600,Car01,2016-04-09 00:00:00.000,M005,500,T001
M601,Car24,2018-09-29 00:00:00.000,M002,200,T001
M602,Car30,2018-05-13 00:00:00.000,M002,200,T004
M603,Car10,2017-07-08 00:00:00.000,M004,400,T002
M604,Car10,2021-03-07 00:00:00.000,M001,100,T004
M605,Car16,2016-12-18 00:00:00.000,M002,200,T003
M606,Car29,2017-04-01 00:00:00.000,M004,400,T001
M607,Car19,2015-02-22 00:00:00.000,M003,300,T005
M608,Car03,2016-10-09 00:00:00.000,M003,300,T004
M609,Car19,2015-03-14 00:00:00.000,M005,500,T004
M610,Car07,2017-05-28 00:00:00.000,M003,300,T001
M611,Car03,2019-12-01 00:00:00.000,M003,300,T003
M612,Car22,2017-12-23 00:00:00.000,M002,200,T005
M613,Car10,2018-08-19 00:00:00.000,M003,300,T005
M614,Car06,2021-08-28 00:00:00.000,M003,300,T005
M615,Car13,2020-12-12 00:00:00.000,M001,100,T004
M616,Car26,2021-01-09 00:00:00.000,M003,300,T005
M617,Car21,2021-07-17 00:00:00.000,M002,200,T005
M618,Car07,2017-08-05 00:00:00.000,M005,500,T001
M619,Car16,2016-08-21 00:00:00.000,M002,200,T005
M620,Car24,2020-04-11 00:00:00.000,M001,100,T001
M621,Car15,2020-05-03 00:00:00.000,M004,400,T001
M622,Car01,2017-07-15 00:00:00.000,M005,500,T001
M623,Car06,2021-09-25 00:00:00.000,M004,400,T003
M624,Car09,2019-03-23 00:00:00.000,M005,500,T003
M625,Car04,2017-05-14 00:00:00.000,M004,400,T002
M626,Car05,2016-09-04 00:00:00.000,M004,400,T003
M627,Car25,2019-02-17 00:00:00.000,M001,100,T001
M628,Car09,2016-10-22 00:00:00.000,M001,100,T004
M629,Car09,2016-12-17 00:00:00.000,M001,100,T004
M630,Car23,2020-01-18 00:00:00.000,M005,500,T002
M631,Car19,2015-11-01 00:00:00.000,M004,400,T005
M632,Car10,2016-02-06 00:00:00.000,M001,100,T003
M633,Car10,2016-03-19 00:00:00.000,M002,200,T002
M634,Car18,2017-09-17 00:00:00.000,M005,500,T001
M635,Car23,2015-03-01 00:00:00.000,M002,200,T005
M636,Car12,2016-10-16 00:00:00.000,M001,100,T003
M637,Car08,2016-10-29 00:00:00.000,M005,500,T004
M638,Car18,2020-07-19 00:00:00.000,M002,200,T005
M639,Car08,2017-07-16 00:00:00.000,M005,500,T005
M640,Car05,2017-06-11 00:00:00.000,M004,400,T002
M641,Car22,2018-10-14 00:00:00.000,M001,100,T002
M642,Car03,2017-02-19 00:00:00.000,M005,500,T002
M643,Car19,2016-12-03 00:00:00.000,M001,100,T003
M644,Car17,2015-12-20 00:00:00.000,M001,100,T004
M645,Car16,2021-01-10 00:00:00.000,M002,200,T005
M646,Car29,2017-04-09 00:00:00.000,M005,500,T002
M647,Car21,2017-10-28 00:00:00.000,M001,100,T001
M648,Car27,2017-08-12 00:00:00.000,M004,400,T002
M649,Car05,2021-05-02 00:00:00.000,M004,400,T005
M650,Car17,2020-08-23 00:00:00.000,M001,100,T005
M651,Car11,2021-12-18 00:00:00.000,M001,100,T003
M652,Car12,2018-11-04 00:00:00.000,M002,200,T001
M653,Car03,2015-09-26 00:00:00.000,M002,200,T002
M654,Car09,2015-07-26 00:00:00.000,M001,100,T004
M655,Car10,2015-01-11 00:00:00.000,M005,500,T002
M656,Car25,2019-07-27 00:00:00.000,M003,300,T001
M657,Car12,2017-10-01 00:00:00.000,M003,300,T003
M658,Car12,2021-01-03 00:00:00.000,M001,100,T004
M659,Car19,2016-09-18 00:00:00.000,M001,100,T004
M660,Car27,2015-10-31 00:00:00.000,M002,200,T003
M661,Car04,2021-03-20 00:00:00.000,M002,200,T002
