"BOOKINGID","REGISTRATIONNO","BOOKINGDATE","DEPARTUREZONE","DESTINATIONZONE","PASSENGERID"
T775,Car13,2016-11-07 16:00:00.000,ZoneA,ZoneA,U160
T776,Car29,2015-09-10 12:00:00.000,ZoneD,ZoneC,U102
T777,Car22,2019-10-20 23:00:00.000,ZoneC,ZoneA,U041
T778,Car09,2020-12-20 00:00:00.000,ZoneB,ZoneD,U018
T779,Car11,2021-08-05 03:00:00.000,ZoneB,ZoneC,U024
T780,Car15,2015-02-18 08:00:00.000,ZoneA,ZoneB,U057
T781,Car14,2019-12-22 21:00:00.000,ZoneC,ZoneD,U144
T782,Car07,2020-03-05 05:00:00.000,ZoneC,ZoneC,U083
T783,Car13,2016-04-14 04:00:00.000,ZoneA,ZoneC,U083
T784,Car08,2019-04-15 20:00:00.000,ZoneC,ZoneA,U147
T785,Car10,2018-09-13 16:00:00.000,ZoneA,ZoneC,U091
T786,Car08,2019-02-22 18:00:00.000,ZoneD,ZoneC,U088
T787,Car15,2017-08-28 05:00:00.000,ZoneD,ZoneA,U051
T788,Car27,2016-01-08 12:00:00.000,ZoneB,ZoneB,U161
T789,Car19,2018-02-20 01:00:00.000,ZoneB,ZoneB,U056
T790,Car02,2020-12-11 06:00:00.000,ZoneB,ZoneB,U151
T791,Car12,2021-07-04 11:00:00.000,ZoneA,ZoneD,U111
T792,Car20,2020-03-24 04:00:00.000,ZoneB,ZoneA,U076
T793,Car11,2020-04-13 09:00:00.000,ZoneA,ZoneD,U027
T794,Car08,2016-08-25 02:00:00.000,ZoneA,ZoneD,U087
T795,Car26,2017-02-26 02:00:00.000,ZoneB,ZoneC,U070
T796,Car28,2017-11-01 20:00:00.000,ZoneC,ZoneC,U061
T797,Car23,2019-09-09 12:00:00.000,ZoneA,ZoneB,U159
T798,Car19,2019-11-01 05:00:00.000,ZoneD,ZoneD,U067
T799,Car13,2020-01-08 03:00:00.000,ZoneD,ZoneA,U066
T800,Car12,2016-01-22 16:00:00.000,ZoneA,ZoneA,U149
T801,Car26,2015-12-28 01:00:00.000,ZoneC,ZoneC,U092
T802,Car27,2016-03-27 16:00:00.000,ZoneB,ZoneD,U079
T803,Car19,2020-05-03 14:00:00.000,ZoneD,ZoneC,U119
T804,Car25,2018-11-09 13:00:00.000,ZoneB,ZoneD,U047
T805,Car22,2021-01-18 14:00:00.000,ZoneC,ZoneD,U136
T806,Car16,2015-03-28 01:00:00.000,ZoneD,ZoneB,U106
T807,Car04,2016-04-25 10:00:00.000,ZoneD,ZoneD,U078
T808,Car07,2015-04-10 09:00:00.000,ZoneA,ZoneC,U036
T809,Car08,2018-11-13 17:00:00.000,ZoneB,ZoneA,U133
T810,Car02,2020-05-15 21:00:00.000,ZoneC,ZoneD,U108
T811,Car04,2016-12-03 22:00:00.000,ZoneC,ZoneA,U086
T812,Car26,2021-03-07 17:00:00.000,ZoneB,ZoneB,U039
T813,Car19,2017-10-30 18:00:00.000,ZoneB,ZoneB,U044
T814,Car06,2021-12-05 20:00:00.000,ZoneB,ZoneC,U069
T815,Car03,2018-07-12 13:00:00.000,ZoneB,ZoneC,U097
T816,Car29,2015-07-09 09:00:00.000,ZoneB,ZoneD,U145
T817,Car01,2017-04-08 18:00:00.000,ZoneC,ZoneB,U019
T818,Car18,2015-06-10 20:00:00.000,ZoneB,ZoneB,U018
T819,Car02,2021-01-11 07:00:00.000,ZoneA,ZoneD,U125
T820,Car14,2017-10-09 22:00:00.000,ZoneB,ZoneD,U013
T821,Car14,2021-12-17 12:00:00.000,ZoneD,ZoneA,U116
T822,Car22,2018-03-08 02:00:00.000,ZoneB,ZoneC,U120
T823,Car20,2015-04-16 20:00:00.000,ZoneA,ZoneD,U016
T824,Car18,2018-02-24 20:00:00.000,ZoneC,ZoneA,U131
T825,Car23,2015-02-07 22:00:00.000,ZoneD,ZoneC,U128
T826,Car30,2015-02-18 03:00:00.000,ZoneA,ZoneD,U067
T827,Car24,2019-07-15 16:00:00.000,ZoneB,ZoneC,U115
T828,Car01,2017-07-18 09:00:00.000,ZoneC,ZoneD,U112
T829,Car24,2016-01-08 17:00:00.000,ZoneD,ZoneB,U101
T830,Car01,2018-10-01 04:00:00.000,ZoneC,ZoneB,U027
T831,Car29,2021-03-17 02:00:00.000,ZoneD,ZoneC,U045
T832,Car05,2016-10-09 17:00:00.000,ZoneB,ZoneC,U151
T833,Car26,2018-08-30 02:00:00.000,ZoneB,ZoneB,U037
T834,Car03,2017-02-04 15:00:00.000,ZoneD,ZoneD,U031
T835,Car08,2015-05-24 13:00:00.000,ZoneD,ZoneD,U047
T836,Car22,2019-10-30 08:00:00.000,ZoneA,ZoneB,U097
T837,Car11,2018-04-15 00:00:00.000,ZoneC,ZoneD,U021
T838,Car10,2021-03-07 02:00:00.000,ZoneB,ZoneD,U071
T839,Car16,2016-05-15 15:00:00.000,ZoneD,ZoneC,U056
T840,Car21,2017-04-13 08:00:00.000,ZoneD,ZoneC,U064
T841,Car15,2020-03-09 04:00:00.000,ZoneC,ZoneD,U058
T842,Car27,2015-12-13 01:00:00.000,ZoneA,ZoneA,U078
T843,Car19,2018-05-21 01:00:00.000,ZoneD,ZoneA,U033
T844,Car14,2021-08-16 14:00:00.000,ZoneB,ZoneB,U074
T845,Car05,2020-08-10 03:00:00.000,ZoneB,ZoneA,U098
T846,Car09,2015-04-02 11:00:00.000,ZoneD,ZoneD,U160
T847,Car02,2019-11-28 12:00:00.000,ZoneC,ZoneD,U012
T848,Car23,2018-01-02 12:00:00.000,ZoneA,ZoneA,U101
T849,Car18,2020-03-07 07:00:00.000,ZoneA,ZoneD,U069
T850,Car06,2018-11-05 04:00:00.000,ZoneA,ZoneC,U034
T851,Car08,2017-06-17 03:00:00.000,ZoneB,ZoneB,U023
T852,Car28,2021-11-23 08:00:00.000,ZoneD,ZoneA,U012
T853,Car21,2020-09-06 05:00:00.000,ZoneC,ZoneA,U045
T854,Car25,2021-02-16 03:00:00.000,ZoneC,ZoneC,U108
T855,Car05,2017-03-10 19:00:00.000,ZoneC,ZoneA,U029
T856,Car21,2017-01-06 16:00:00.000,ZoneB,ZoneD,U111
T857,Car17,2017-07-19 05:00:00.000,ZoneB,ZoneC,U103
T858,Car29,2021-01-23 04:00:00.000,ZoneC,ZoneD,U016
T859,Car21,2016-03-06 10:00:00.000,ZoneB,ZoneB,U128
T860,Car20,2015-08-02 18:00:00.000,ZoneA,ZoneB,U038
T861,Car02,2020-03-24 19:00:00.000,ZoneC,ZoneC,U059
T862,Car02,2016-03-29 23:00:00.000,ZoneC,ZoneD,U020
T863,Car27,2018-03-26 20:00:00.000,ZoneA,ZoneA,U038
T864,Car12,2015-10-30 22:00:00.000,ZoneA,ZoneD,U158
T865,Car08,2020-01-28 03:00:00.000,ZoneD,ZoneD,U077
T866,Car30,2015-12-11 04:00:00.000,ZoneB,ZoneD,U018
T867,Car29,2017-09-19 07:00:00.000,ZoneB,ZoneA,U051
T868,Car02,2016-05-24 04:00:00.000,ZoneA,ZoneC,U047
T869,Car17,2016-06-07 08:00:00.000,ZoneD,ZoneB,U019
T870,Car12,2016-11-03 07:00:00.000,ZoneD,ZoneC,U094
T871,Car06,2021-10-27 16:00:00.000,ZoneC,ZoneA,U043
T872,Car13,2017-05-04 14:00:00.000,ZoneC,ZoneD,U102
T873,Car26,2016-12-22 01:00:00.000,ZoneC,ZoneB,U017
T874,Car05,2016-11-18 07:00:00.000,ZoneA,ZoneC,U139
T875,Car07,2016-10-21 19:00:00.000,ZoneC,ZoneA,U144
T876,Car15,2016-03-01 15:00:00.000,ZoneC,ZoneA,U025
T877,Car23,2017-12-15 09:00:00.000,ZoneB,ZoneD,U148
T878,Car01,2017-01-23 08:00:00.000,ZoneB,ZoneC,U025
T879,Car04,2021-10-04 13:00:00.000,ZoneC,ZoneC,U116
T880,Car28,2021-01-27 08:00:00.000,ZoneD,ZoneD,U136
T881,Car22,2017-03-26 00:00:00.000,ZoneC,ZoneB,U159
T882,Car27,2015-04-16 00:00:00.000,ZoneB,ZoneC,U160
T883,Car30,2015-02-13 23:00:00.000,ZoneC,ZoneC,U083
T884,Car09,2018-12-19 13:00:00.000,ZoneC,ZoneD,U068
T885,Car18,2019-05-13 23:00:00.000,ZoneD,ZoneA,U129
T886,Car09,2017-11-06 15:00:00.000,ZoneA,ZoneB,U078
T887,Car07,2016-05-29 04:00:00.000,ZoneA,ZoneA,U145
T888,Car19,2016-08-06 18:00:00.000,ZoneD,ZoneB,U034
T1,Car19,2019-04-06 01:00:00.000,ZoneA,ZoneB,U053
T2,Car05,2020-10-14 23:00:00.000,ZoneD,ZoneC,U024
T3,Car23,2017-11-26 20:00:00.000,ZoneB,ZoneC,U105
T4,Car01,2016-05-28 08:00:00.000,ZoneA,ZoneB,U126
T5,Car21,2016-09-21 19:00:00.000,ZoneC,ZoneA,U092
T6,Car09,2019-07-19 10:00:00.000,ZoneC,ZoneD,U131
T7,Car16,2018-07-03 19:00:00.000,ZoneA,ZoneD,U044
T8,Car24,2019-10-06 19:00:00.000,ZoneB,ZoneA,U149
T9,Car21,2019-09-02 10:00:00.000,ZoneB,ZoneB,U091
T10,Car02,2020-10-22 01:00:00.000,ZoneC,ZoneA,U058
T11,Car15,2021-06-25 22:00:00.000,ZoneC,ZoneA,U111
T12,Car03,2021-01-16 07:00:00.000,ZoneD,ZoneB,U097
T13,Car16,2019-06-22 08:00:00.000,ZoneA,ZoneB,U156
T14,Car25,2020-01-27 02:00:00.000,ZoneC,ZoneA,U070
T15,Car07,2017-08-05 22:00:00.000,ZoneC,ZoneA,U067
T16,Car23,2018-10-27 00:00:00.000,ZoneD,ZoneD,U159
T17,Car30,2015-07-15 15:00:00.000,ZoneC,ZoneA,U084
T18,Car20,2016-08-15 17:00:00.000,ZoneB,ZoneC,U063
T19,Car21,2015-05-19 23:00:00.000,ZoneB,ZoneD,U014
T20,Car06,2020-09-16 00:00:00.000,ZoneD,ZoneC,U160
T21,Car16,2017-06-13 19:00:00.000,ZoneA,ZoneC,U051
T22,Car15,2020-03-22 17:00:00.000,ZoneB,ZoneA,U058
T23,Car19,2017-09-21 19:00:00.000,ZoneD,ZoneD,U022
T24,Car18,2016-10-01 04:00:00.000,ZoneC,ZoneB,U062
T25,Car29,2019-09-01 19:00:00.000,ZoneA,ZoneC,U132
T26,Car28,2019-05-04 14:00:00.000,ZoneC,ZoneB,U132
T27,Car14,2019-10-12 10:00:00.000,ZoneA,ZoneC,U033
T28,Car06,2015-12-22 15:00:00.000,ZoneC,ZoneB,U143
T29,Car13,2021-05-09 15:00:00.000,ZoneA,ZoneA,U115
T30,Car14,2017-10-26 09:00:00.000,ZoneC,ZoneD,U065
T31,Car23,2018-12-09 18:00:00.000,ZoneA,ZoneB,U052
T32,Car02,2019-09-29 17:00:00.000,ZoneA,ZoneB,U121
T33,Car06,2017-07-31 17:00:00.000,ZoneC,ZoneC,U072
T34,Car22,2021-07-18 05:00:00.000,ZoneA,ZoneB,U047
T35,Car16,2015-05-06 10:00:00.000,ZoneA,ZoneC,U014
T36,Car25,2017-10-03 11:00:00.000,ZoneD,ZoneA,U033
T37,Car27,2016-01-13 17:00:00.000,ZoneA,ZoneA,U016
T38,Car22,2016-03-20 14:00:00.000,ZoneC,ZoneA,U136
T39,Car20,2018-02-06 02:00:00.000,ZoneA,ZoneD,U037
T40,Car10,2015-09-09 01:00:00.000,ZoneB,ZoneA,U113
T41,Car02,2015-02-18 18:00:00.000,ZoneC,ZoneD,U082
T42,Car30,2018-08-09 16:00:00.000,ZoneA,ZoneB,U092
T43,Car22,2018-04-02 17:00:00.000,ZoneB,ZoneB,U035
T44,Car24,2021-11-14 19:00:00.000,ZoneB,ZoneC,U103
T45,Car02,2017-06-13 09:00:00.000,ZoneD,ZoneC,U135
T46,Car12,2017-02-22 23:00:00.000,ZoneB,ZoneC,U024
T47,Car30,2017-06-01 22:00:00.000,ZoneC,ZoneD,U105
T48,Car15,2017-04-26 21:00:00.000,ZoneC,ZoneC,U039
T49,Car07,2020-10-30 14:00:00.000,ZoneD,ZoneD,U029
T50,Car30,2015-11-30 13:00:00.000,ZoneD,ZoneB,U092
T51,Car16,2021-03-28 13:00:00.000,ZoneC,ZoneD,U016
T52,Car04,2019-07-31 07:00:00.000,ZoneC,ZoneC,U100
T53,Car19,2016-11-04 18:00:00.000,ZoneB,ZoneB,U060
T54,Car01,2019-08-25 12:00:00.000,ZoneA,ZoneC,U104
T55,Car27,2017-12-23 22:00:00.000,ZoneD,ZoneC,U138
T56,Car15,2021-01-06 07:00:00.000,ZoneA,ZoneC,U114
T57,Car29,2019-03-30 09:00:00.000,ZoneB,ZoneA,U162
T58,Car05,2018-02-21 22:00:00.000,ZoneD,ZoneB,U148
T59,Car05,2020-02-25 16:00:00.000,ZoneD,ZoneB,U149
T60,Car28,2017-02-12 13:00:00.000,ZoneC,ZoneC,U055
T61,Car19,2018-02-13 04:00:00.000,ZoneB,ZoneD,U132
T62,Car18,2020-05-14 10:00:00.000,ZoneD,ZoneC,U026
T63,Car29,2021-09-17 21:00:00.000,ZoneB,ZoneA,U116
T64,Car24,2020-05-31 22:00:00.000,ZoneA,ZoneB,U010
T65,Car28,2019-06-18 14:00:00.000,ZoneD,ZoneD,U015
T66,Car09,2019-02-26 12:00:00.000,ZoneC,ZoneC,U050
T67,Car13,2015-01-15 04:00:00.000,ZoneA,ZoneC,U081
T68,Car20,2016-03-06 00:00:00.000,ZoneB,ZoneC,U023
T69,Car17,2017-06-13 19:00:00.000,ZoneD,ZoneD,U112
T70,Car09,2020-09-19 23:00:00.000,ZoneA,ZoneA,U026
T71,Car07,2020-08-01 14:00:00.000,ZoneA,ZoneB,U033
T72,Car12,2021-05-09 00:00:00.000,ZoneD,ZoneA,U129
T73,Car14,2019-08-10 02:00:00.000,ZoneB,ZoneC,U150
T74,Car21,2016-11-24 08:00:00.000,ZoneD,ZoneA,U093
T75,Car15,2017-01-06 06:00:00.000,ZoneD,ZoneD,U085
T76,Car15,2018-06-26 12:00:00.000,ZoneB,ZoneC,U162
T77,Car23,2016-07-08 04:00:00.000,ZoneA,ZoneA,U045
T78,Car12,2018-03-29 08:00:00.000,ZoneC,ZoneB,U091
T79,Car26,2020-01-29 04:00:00.000,ZoneA,ZoneB,U068
T80,Car01,2018-09-27 05:00:00.000,ZoneC,ZoneA,U094
T81,Car02,2020-09-24 23:00:00.000,ZoneC,ZoneA,U162
T82,Car29,2016-01-10 19:00:00.000,ZoneD,ZoneC,U081
T83,Car11,2015-05-21 05:00:00.000,ZoneD,ZoneC,U015
T84,Car25,2020-09-04 08:00:00.000,ZoneA,ZoneA,U053
T85,Car19,2016-10-22 00:00:00.000,ZoneC,ZoneB,U059
T86,Car13,2016-04-10 00:00:00.000,ZoneD,ZoneD,U088
T87,Car04,2021-08-19 22:00:00.000,ZoneC,ZoneA,U062
T88,Car17,2018-03-04 18:00:00.000,ZoneD,ZoneC,U059
T89,Car14,2018-05-08 03:00:00.000,ZoneB,ZoneA,U120
T90,Car08,2019-10-22 20:00:00.000,ZoneB,ZoneC,U066
T91,Car28,2015-06-13 08:00:00.000,ZoneC,ZoneB,U083
T92,Car12,2020-01-06 01:00:00.000,ZoneB,ZoneA,U046
T93,Car28,2016-01-19 13:00:00.000,ZoneB,ZoneD,U160
T94,Car25,2019-10-08 01:00:00.000,ZoneC,ZoneD,U063
T95,Car11,2016-04-09 14:00:00.000,ZoneC,ZoneB,U156
T96,Car30,2019-12-05 09:00:00.000,ZoneA,ZoneD,U051
T97,Car30,2018-08-25 22:00:00.000,ZoneB,ZoneD,U123
T98,Car28,2016-05-23 23:00:00.000,ZoneD,ZoneD,U063
T99,Car25,2021-02-08 15:00:00.000,ZoneD,ZoneA,U019
T100,Car14,2015-06-10 15:00:00.000,ZoneA,ZoneD,U053
T101,Car24,2020-05-24 10:00:00.000,ZoneA,ZoneB,U114
T102,Car04,2020-01-27 07:00:00.000,ZoneC,ZoneA,U085
T103,Car08,2018-12-10 19:00:00.000,ZoneB,ZoneA,U152
T104,Car30,2021-12-12 12:00:00.000,ZoneC,ZoneD,U100
T105,Car06,2020-05-06 12:00:00.000,ZoneD,ZoneD,U030
T106,Car29,2016-02-19 04:00:00.000,ZoneB,ZoneB,U047
T107,Car08,2020-11-18 03:00:00.000,ZoneD,ZoneA,U103
T108,Car08,2020-12-16 06:00:00.000,ZoneC,ZoneD,U065
T109,Car10,2020-11-16 16:00:00.000,ZoneA,ZoneC,U013
T110,Car07,2017-10-17 15:00:00.000,ZoneA,ZoneA,U130
T111,Car25,2016-12-25 19:00:00.000,ZoneA,ZoneC,U128
T112,Car05,2017-01-31 11:00:00.000,ZoneD,ZoneD,U154
T113,Car02,2018-07-30 01:00:00.000,ZoneD,ZoneC,U151
T114,Car22,2020-11-15 20:00:00.000,ZoneB,ZoneA,U029
T115,Car26,2019-03-11 10:00:00.000,ZoneA,ZoneC,U124
T116,Car17,2020-12-22 07:00:00.000,ZoneB,ZoneA,U049
T117,Car16,2019-11-22 16:00:00.000,ZoneA,ZoneB,U054
T118,Car07,2017-06-08 19:00:00.000,ZoneC,ZoneA,U123
T119,Car26,2016-12-13 22:00:00.000,ZoneB,ZoneC,U102
T120,Car17,2021-04-02 08:00:00.000,ZoneD,ZoneD,U115
T121,Car14,2020-01-07 12:00:00.000,ZoneB,ZoneD,U076
T122,Car04,2015-11-25 03:00:00.000,ZoneC,ZoneA,U099
T123,Car24,2020-07-21 18:00:00.000,ZoneA,ZoneB,U124
T124,Car04,2019-11-02 21:00:00.000,ZoneC,ZoneD,U122
T125,Car29,2015-04-22 16:00:00.000,ZoneD,ZoneB,U063
T126,Car05,2020-06-25 17:00:00.000,ZoneA,ZoneD,U071
T127,Car28,2018-10-30 23:00:00.000,ZoneB,ZoneD,U078
T128,Car02,2019-03-25 04:00:00.000,ZoneB,ZoneD,U083
T129,Car12,2018-01-01 01:00:00.000,ZoneA,ZoneA,U025
T130,Car17,2016-10-04 17:00:00.000,ZoneA,ZoneB,U068
T131,Car17,2020-01-14 14:00:00.000,ZoneD,ZoneD,U019
T132,Car13,2021-06-01 03:00:00.000,ZoneA,ZoneB,U012
T133,Car20,2017-06-21 12:00:00.000,ZoneB,ZoneA,U089
T134,Car17,2021-11-06 01:00:00.000,ZoneC,ZoneC,U128
T135,Car07,2015-01-06 00:00:00.000,ZoneD,ZoneA,U058
T136,Car22,2015-01-05 14:00:00.000,ZoneA,ZoneB,U075
T137,Car13,2020-08-05 13:00:00.000,ZoneC,ZoneC,U120
T138,Car16,2016-11-23 17:00:00.000,ZoneB,ZoneC,U038
T139,Car03,2015-04-27 11:00:00.000,ZoneC,ZoneB,U140
T140,Car27,2016-07-27 18:00:00.000,ZoneB,ZoneC,U067
T141,Car25,2017-04-03 03:00:00.000,ZoneB,ZoneA,U087
T142,Car18,2018-12-13 07:00:00.000,ZoneD,ZoneC,U069
T143,Car08,2020-03-20 00:00:00.000,ZoneC,ZoneC,U071
T144,Car23,2020-06-11 23:00:00.000,ZoneD,ZoneC,U137
T145,Car11,2016-03-03 17:00:00.000,ZoneB,ZoneD,U151
T146,Car24,2015-08-14 20:00:00.000,ZoneA,ZoneC,U103
T147,Car20,2015-01-04 23:00:00.000,ZoneB,ZoneB,U091
T148,Car03,2019-11-05 09:00:00.000,ZoneA,ZoneC,U028
T149,Car15,2015-02-15 15:00:00.000,ZoneA,ZoneD,U137
T150,Car08,2019-09-05 03:00:00.000,ZoneD,ZoneB,U030
T151,Car06,2016-11-11 20:00:00.000,ZoneC,ZoneD,U150
T152,Car21,2017-09-10 18:00:00.000,ZoneA,ZoneD,U030
T153,Car20,2016-11-13 12:00:00.000,ZoneB,ZoneD,U145
T154,Car20,2021-01-14 05:00:00.000,ZoneA,ZoneD,U074
T155,Car05,2019-09-13 21:00:00.000,ZoneD,ZoneA,U078
T156,Car19,2020-02-22 03:00:00.000,ZoneA,ZoneA,U140
T157,Car23,2015-09-20 07:00:00.000,ZoneA,ZoneD,U122
T158,Car11,2017-12-13 22:00:00.000,ZoneC,ZoneD,U137
T159,Car06,2020-06-10 12:00:00.000,ZoneA,ZoneA,U014
T160,Car13,2021-02-15 17:00:00.000,ZoneC,ZoneA,U100
T161,Car17,2021-07-06 23:00:00.000,ZoneD,ZoneB,U140
T162,Car03,2016-08-28 15:00:00.000,ZoneD,ZoneD,U029
T163,Car03,2019-06-17 23:00:00.000,ZoneC,ZoneD,U058
T164,Car30,2018-04-19 19:00:00.000,ZoneD,ZoneB,U110
T165,Car20,2018-11-19 13:00:00.000,ZoneD,ZoneD,U068
T166,Car26,2018-09-09 07:00:00.000,ZoneD,ZoneA,U081
T167,Car09,2015-01-14 23:00:00.000,ZoneA,ZoneD,U094
T168,Car04,2019-01-16 21:00:00.000,ZoneA,ZoneB,U151
T169,Car11,2021-03-08 18:00:00.000,ZoneB,ZoneB,U096
T170,Car18,2015-05-05 14:00:00.000,ZoneD,ZoneC,U110
T171,Car26,2020-04-07 03:00:00.000,ZoneA,ZoneD,U070
T172,Car03,2017-07-08 19:00:00.000,ZoneB,ZoneC,U128
T173,Car23,2020-08-07 10:00:00.000,ZoneC,ZoneC,U130
T174,Car28,2017-09-25 08:00:00.000,ZoneD,ZoneD,U063
T175,Car04,2021-11-22 12:00:00.000,ZoneC,ZoneB,U071
T176,Car17,2015-04-09 13:00:00.000,ZoneB,ZoneA,U059
T177,Car23,2017-05-02 12:00:00.000,ZoneC,ZoneD,U079
T178,Car25,2016-08-19 11:00:00.000,ZoneB,ZoneC,U118
T179,Car17,2016-01-18 17:00:00.000,ZoneD,ZoneB,U118
T180,Car11,2015-01-13 17:00:00.000,ZoneC,ZoneC,U072
T181,Car12,2018-09-30 03:00:00.000,ZoneD,ZoneB,U154
T182,Car29,2018-02-05 16:00:00.000,ZoneB,ZoneA,U060
T183,Car10,2015-04-14 18:00:00.000,ZoneD,ZoneB,U019
T184,Car27,2021-01-20 06:00:00.000,ZoneD,ZoneA,U125
T185,Car25,2019-05-03 23:00:00.000,ZoneA,ZoneD,U022
T186,Car13,2016-01-08 02:00:00.000,ZoneA,ZoneB,U106
T187,Car22,2017-02-07 13:00:00.000,ZoneC,ZoneA,U074
T188,Car22,2018-10-17 20:00:00.000,ZoneA,ZoneA,U120
T189,Car23,2021-10-31 10:00:00.000,ZoneA,ZoneA,U149
T190,Car15,2020-06-08 05:00:00.000,ZoneC,ZoneB,U124
T191,Car14,2021-08-05 23:00:00.000,ZoneA,ZoneC,U088
T192,Car15,2017-12-18 07:00:00.000,ZoneC,ZoneD,U115
T193,Car29,2016-08-21 03:00:00.000,ZoneA,ZoneC,U146
T194,Car15,2021-10-10 19:00:00.000,ZoneD,ZoneB,U104
T195,Car03,2019-05-29 19:00:00.000,ZoneA,ZoneA,U011
T196,Car15,2017-02-23 14:00:00.000,ZoneD,ZoneD,U086
T197,Car03,2019-09-24 12:00:00.000,ZoneB,ZoneD,U054
T198,Car23,2021-09-14 23:00:00.000,ZoneB,ZoneB,U010
